CEMETERY|SITECODE|PERIOD|LU_INT|E_DATE|L_DATE|SITECODE|CONTEXT|SEX|AGE|TRAIT_TYPE|GROUP|EXPANSION|VALUE
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Humerus|Humeral Length L|254|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Ilium|Ilium Gsn Width L|31.1|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Humerus|Humeral Width R|47|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Humerus|Humeral Width L|45.9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Radius|Radial Length R|194|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Radius|Radial Length L|192|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Ulna|Ulna Length R|214|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Ulna|Ulna Length L|212|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Femur|Femoral Length R|372|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Femur|Femoral Length L|372|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Femur|Femoral Width R|65.9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Femur|Femoral Width L|62.5|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Tibia|Tibial Length R|295|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Tibia|Tibial Length L|294|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Fibia|Fibular Length R|287|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Clavicle|Clavicle Length R|118.1|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Ilium|Ilium Max Length R|105.8|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Ilium|Ilium Max Length L|106.6|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Ilium|Ilium Max Width R|115.6|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Ilium|Ilium Max Width L|114.3|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10699|UNSEXED CHILD|SUB-ADULT 12-17 YEARS|Bone measurement|Ilium|Ilium Gsn Width R|23.5|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10756|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Gsn Diameter R|10.6|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10756|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Gsn Diameter L|11.5|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10756|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Gsn Width L|30.8|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10756|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ulna|Ulna Length R|164|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10756|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ulna|Ulna Length L|163|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10756|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Femur|Femoral Length R|287|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10756|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Femur|Femoral Length L|282|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10756|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Femur|Femoral Width R|53.9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10756|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Femur|Femoral Width L|53.1|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10756|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Tibia|Tibial Length R|230|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10756|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Tibia|Tibial Length L|229|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10756|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Clavicle|Clavicle Length R|92.1|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10756|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Max Length R|92.9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10756|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Max Length L|91.9|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10756|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Max Width R|99.6|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10756|UNSEXED CHILD|SUB-ADULT 6-11 YEARS|Bone measurement|Ilium|Ilium Gsn Width R|27.1|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10770|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Bone measurement|Ilium|Ilium Gsn Diameter L|6.1|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10770|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Bone measurement|Humerus|Humeral Length R|131|
Medieval-Guildhall Yard|GYE92|11|OA115|1140|1230|10770|UNSEXED CHILD|SUB-ADULT 1-5 YEARS|Bone measurement|Humerus|Humeral Length L|132|
